# Berlin-style city map (36 nodes)
# nodes are intersections or landmarks, connected by roads of varying distances

# vertices (id, cell)
1,11   
2,12   
3,13   
4,14   
5,15   
6,16   
7,21   
8,22   
9,23   
10,24  
11,25  
12,26  
13,31  
14,32  
15,33  
16,34  
17,35  
18,36  
19,41  
20,42  
21,43  
22,44  
23,45  
24,46  
25,51  
26,52  
27,53  
28,54  
29,55  
30,56  
31,61  
32,62  
33,63  
34,64  
35,65  
36,66  

# edges (bidirectional roads with distances)
1,2,1.0
2,3,1.2
3,4,0.9
4,5,1.1
5,6,1.0
2,8,1.3
8,9,1.0
9,10,1.1
10,11,1.4
11,12,2.0
7,8,1.0
7,13,1.2
13,14,1.1
14,15,1.0
15,9,0.8
15,16,1.2
16,17,1.1
17,18,1.5
18,23,1.8
19,14,1.5
19,20,1.3
20,21,1.1
21,22,1.0
22,23,1.2
23,24,1.3
24,28,1.6
28,29,1.8
29,30,2.0
25,26,1.1
26,27,1.2
27,28,1.4
26,16,1.5
25,31,1.3
31,32,1.5
32,33,1.2
33,34,1.3
34,1,1.4
34,14,1.5
35,19,1.6
35,33,1.7
36,35,1.4
36,20,1.8
20,33,2.1
30,23,1.9

# source and destination
S,1
D,30
